26-06-07 01:24:09: Training starting...
global_step=49756, episodic_return=-169.8
global_step=49816, episodic_return=-118.2
global_step=50044, episodic_return=-107.5
global_step=50128, episodic_return=-145.9
global_step=50144, episodic_return=-113.2
global_step=50240, episodic_return=-103.2
global_step=50320, episodic_return=-103.0
global_step=50392, episodic_return=-101.3
global_step=50444, episodic_return=-153.0
global_step=50452, episodic_return=-101.3
global_step=50544, episodic_return=-101.1
global_step=50652, episodic_return=-102.9
global_step=50696, episodic_return=-101.6
global_step=50780, episodic_return=-129.6
global_step=50784, episodic_return=-100.7
global_step=50896, episodic_return=-105.2
global_step=50900, episodic_return=-103.5
global_step=51016, episodic_return=-101.4
global_step=51036, episodic_return=-100.9
global_step=51104, episodic_return=-103.6
global_step=51104, episodic_return=-103.6
global_step=51240, episodic_return=-102.8
global_step=51292, episodic_return=-103.0
global_step=51324, episodic_return=-103.5
global_step=51324, episodic_return=-103.6
global_step=51476, episodic_return=-102.3
global_step=51492, episodic_return=-105.3
global_step=51564, episodic_return=-101.4
global_step=51568, episodic_return=-102.6
global_step=51676, episodic_return=-104.1
global_step=51696, episodic_return=-109.0
global_step=51756, episodic_return=-107.2
global_step=51764, episodic_return=-105.4
global_step=51884, episodic_return=-108.2
global_step=52088, episodic_return=-106.0
global_step=52216, episodic_return=-103.8
global_step=52308, episodic_return=-102.5
global_step=52364, episodic_return=-107.7
global_step=52420, episodic_return=-103.5
global_step=52468, episodic_return=-144.1
global_step=52500, episodic_return=-106.7
global_step=52552, episodic_return=-104.5
global_step=52612, episodic_return=-104.4
global_step=52704, episodic_return=-100.7
global_step=52740, episodic_return=-107.9
global_step=52764, episodic_return=-109.1
global_step=52808, episodic_return=-103.4
global_step=52932, episodic_return=-107.8
global_step=52952, episodic_return=-105.1
global_step=52960, episodic_return=-106.4
global_step=52996, episodic_return=-108.2
global_step=53140, episodic_return=-106.6
global_step=53148, episodic_return=-106.5
global_step=53188, episodic_return=-102.5
global_step=53204, episodic_return=-102.6
global_step=53336, episodic_return=-107.6
global_step=53352, episodic_return=-107.9
global_step=53376, episodic_return=-104.4
global_step=53432, episodic_return=-100.5
global_step=53540, episodic_return=-102.9
global_step=53572, episodic_return=-107.7
global_step=53572, episodic_return=-104.5
global_step=53624, episodic_return=-107.3
global_step=53752, episodic_return=-106.9
global_step=53768, episodic_return=-108.3
global_step=53776, episodic_return=-106.3
global_step=53852, episodic_return=-100.4
global_step=53956, episodic_return=-107.0
global_step=53988, episodic_return=-102.4
global_step=54028, episodic_return=-101.2
global_step=54048, episodic_return=-106.2
global_step=54164, episodic_return=-106.3
global_step=54188, episodic_return=-106.3
global_step=54224, episodic_return=-107.3
global_step=54244, episodic_return=-108.6
global_step=54360, episodic_return=-106.6
global_step=54488, episodic_return=-101.0
global_step=54544, episodic_return=-101.2
global_step=54556, episodic_return=-106.0
global_step=54696, episodic_return=-102.5
global_step=54700, episodic_return=-101.8
global_step=54988, episodic_return=-101.7
global_step=55008, episodic_return=-102.3
global_step=55072, episodic_return=-101.6
global_step=55176, episodic_return=-102.6
global_step=55236, episodic_return=-102.1
global_step=55372, episodic_return=-100.2
global_step=55492, episodic_return=-101.6
global_step=55612, episodic_return=-98.8
global_step=55624, episodic_return=-98.5
global_step=55844, episodic_return=-98.6
global_step=55896, episodic_return=-100.5
global_step=56032, episodic_return=-100.9
global_step=56096, episodic_return=-99.4
global_step=56204, episodic_return=-100.6
global_step=56268, episodic_return=-100.1
global_step=56312, episodic_return=-99.5
global_step=56492, episodic_return=-101.4
global_step=56652, episodic_return=-97.7
global_step=56664, episodic_return=-103.9
global_step=56672, episodic_return=-101.5
global_step=56728, episodic_return=-103.0
global_step=57076, episodic_return=-102.6
global_step=57080, episodic_return=-102.2
global_step=57080, episodic_return=-102.1
global_step=57128, episodic_return=-102.7
global_step=57456, episodic_return=-101.4
global_step=57476, episodic_return=-102.5
global_step=57488, episodic_return=-102.3
global_step=57524, episodic_return=-102.5
global_step=57848, episodic_return=-102.1
global_step=57864, episodic_return=-101.9
global_step=57876, episodic_return=-102.7
global_step=57920, episodic_return=-102.6
global_step=58068, episodic_return=-102.3
global_step=58244, episodic_return=-102.6
global_step=58260, episodic_return=-103.8
global_step=58316, episodic_return=-102.4
global_step=58468, episodic_return=-102.7
global_step=58504, episodic_return=-102.6
global_step=58632, episodic_return=-102.2
global_step=58668, episodic_return=-102.3
global_step=58816, episodic_return=-102.4
global_step=58864, episodic_return=-102.1
global_step=58896, episodic_return=-102.0
global_step=58996, episodic_return=-102.4
global_step=59100, episodic_return=-100.7
global_step=59276, episodic_return=-101.0
global_step=59296, episodic_return=-101.8
global_step=59384, episodic_return=-102.5
global_step=59492, episodic_return=-102.7
global_step=59508, episodic_return=-104.2
global_step=59744, episodic_return=-104.7
global_step=59756, episodic_return=-99.0
global_step=59792, episodic_return=-101.1
global_step=59848, episodic_return=-101.4
global_step=60128, episodic_return=-102.1
global_step=60184, episodic_return=-101.3
global_step=60224, episodic_return=-99.9
global_step=60328, episodic_return=-101.5
global_step=60464, episodic_return=-107.0
global_step=60536, episodic_return=-105.8
global_step=60920, episodic_return=-123.7
global_step=60952, episodic_return=-126.0
global_step=61096, episodic_return=-124.9
global_step=61328, episodic_return=-118.0
global_step=61748, episodic_return=-121.5
global_step=61976, episodic_return=-145.8
global_step=62012, episodic_return=-118.5
global_step=62024, episodic_return=-132.7
global_step=62028, episodic_return=-133.9
global_step=62404, episodic_return=-125.0
global_step=62456, episodic_return=-105.4
global_step=62612, episodic_return=-119.2
global_step=62640, episodic_return=-128.4
global_step=62860, episodic_return=-129.6
global_step=62896, episodic_return=-117.5
global_step=63144, episodic_return=-107.5
global_step=63552, episodic_return=-133.4
global_step=63768, episodic_return=-120.0
global_step=63820, episodic_return=-106.8
global_step=64120, episodic_return=-121.8
global_step=64144, episodic_return=-127.5
global_step=64436, episodic_return=-106.1
global_step=64616, episodic_return=-119.7
global_step=64836, episodic_return=-148.8
global_step=64880, episodic_return=-104.9
global_step=64892, episodic_return=-124.1
global_step=64896, episodic_return=-130.6
global_step=65096, episodic_return=-105.4
global_step=65152, episodic_return=-106.9
global_step=65200, episodic_return=-119.6
global_step=65252, episodic_return=-110.5
global_step=65364, episodic_return=-107.0
global_step=65600, episodic_return=-121.7
global_step=65604, episodic_return=-105.0
global_step=65664, episodic_return=-113.7
global_step=65808, episodic_return=-121.0
global_step=65876, episodic_return=-121.9
global_step=65888, episodic_return=-106.6
global_step=65944, episodic_return=-122.8
global_step=66044, episodic_return=-107.9
global_step=66160, episodic_return=-108.4
global_step=66196, episodic_return=-108.7
global_step=66272, episodic_return=-119.8
global_step=66432, episodic_return=-107.6
global_step=66532, episodic_return=-106.1
global_step=66596, episodic_return=-107.5
global_step=66724, episodic_return=-115.8
global_step=66732, episodic_return=-105.6
global_step=66876, episodic_return=-110.2
global_step=66984, episodic_return=-125.7
global_step=67056, episodic_return=-104.7
global_step=67068, episodic_return=-106.2
global_step=67184, episodic_return=-105.8
global_step=67240, episodic_return=-104.6
global_step=67332, episodic_return=-110.3
global_step=67340, episodic_return=-111.6
global_step=67536, episodic_return=-104.9
global_step=67560, episodic_return=-104.9
global_step=67664, episodic_return=-110.4
global_step=67748, episodic_return=-127.2
global_step=67864, episodic_return=-108.5
global_step=67920, episodic_return=-107.9
global_step=67956, episodic_return=-108.8
global_step=68036, episodic_return=-106.7
global_step=68192, episodic_return=-107.4
global_step=68236, episodic_return=-103.4
global_step=68236, episodic_return=-110.4
global_step=68328, episodic_return=-107.3
global_step=68564, episodic_return=-103.0
global_step=68568, episodic_return=-108.1
global_step=68596, episodic_return=-100.7
global_step=68712, episodic_return=-105.8
global_step=68820, episodic_return=-108.1
global_step=68924, episodic_return=-100.8
global_step=68984, episodic_return=-110.2
global_step=69264, episodic_return=-105.5
global_step=69364, episodic_return=-102.2
global_step=69504, episodic_return=-106.0
global_step=69524, episodic_return=-108.4
global_step=69720, episodic_return=-113.9
global_step=69824, episodic_return=-104.8
global_step=69836, episodic_return=-105.2
global_step=70080, episodic_return=-110.8
global_step=70088, episodic_return=-106.2
global_step=70144, episodic_return=-103.4
global_step=70380, episodic_return=-103.7
global_step=70392, episodic_return=-102.2
global_step=70496, episodic_return=-104.1
global_step=70632, episodic_return=-107.9
global_step=70664, episodic_return=-107.6
global_step=70812, episodic_return=-104.1
global_step=70908, episodic_return=-107.1
global_step=70932, episodic_return=-106.2
